emissions_id,actor_id,year,total_emissions,methodology_id,datasource_id
GCoMEC:BE0018:2017.0,BE-ECH,2017,435411,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0319:2014.0,BE-ECS,2014,48554,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0087:2013.0,BE-FES,2013,66453,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0065:2012.0,BE-FMA,2012,122298,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2014.0,BE-FME,2014,21448,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0262:2014.0,BE-FRE,2014,31034,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0124:2017.0,BE-FRO,2017,66287,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0247:2017.0,BE-GBE,2017,28425,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0264:2012.0,BE-GED,2012,32109,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2014.0,BE-GEE,2014,34575,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0080:2013.0,BE-GHI,2013,197679,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0226:2014.0,BE-GLO,2014,25487,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0024:2014.0,BE-GNK,2014,367130,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0209:2018.0,BE-GOK,2018,44962,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0346:2014.0,BE-GPI,2014,83396,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0039:2017.0,BE-GRB,2017,120055,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2014.0,BE-GSM,2014,32596,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0149:2017.0,BE-HAC,2017,54191,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0152:2014.0,BE-HAH,2014,34351,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0193:2014.0,BE-HAW,2014,62295,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0205:2016.0,BE-HDG,2016,44523,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0095:2017.0,BE-HEB,2017,74512,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0175:2014.0,BE-HEK,2014,27114,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0245:2018.0,BE-HEN,2018,41226,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0095:2017.0,BE-HET,2017,74512,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0037:2017.0,BE-HFB,2017,232905,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0241:2018.0,BE-HGD,2018,31080,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0056:2014.0,BE-HHE,2014,134333,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0171:2014.0,BE-HKA,2014,45010,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0210:2014.0,BE-HLA,2014,57475,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0037:2017.0,BE-HLL,2017,232905,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0256:2014.0,BE-HNO,2014,50251,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2014.0,BE-HNU,2014,70740,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0189:2017.0,BE-HOI,2017,42993,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0261:2013.0,BE-HON,2013,21398,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0240:2014.0,BE-HSE,2014,28526,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0021:2015.0,BE-HSS,2015,370491,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0090:2014.0,BE-HUY,2014,105746,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0050:2014.0,BE-HZO,2014,155231,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2014.0,BE-JHY,2014,39570,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0178:2017.0,BE-KMH,2017,52350,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0156:2017.0,BE-KRA,2017,33888,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0170:2014.0,BE-KRO,2014,29978,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0218:2014.0,BE-KTM,2014,22221,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0134:2018.0,BE-LAD,2018,49410,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0066:2014.0,BE-LAN,2014,129929,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0151:2018.0,BE-LBK,2018,54485,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0273:2014.0,BE-LCE,2014,16525,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0163:2017.0,BE-LDK,2017,40248,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0015:2015.0,BE-LEU,2015,603137,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0213:2018.0,BE-LIK,2018,49647,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0238:2018.0,BE-LIN,2018,33036,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0019:1990.0,BE-LLO,1990,233770,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0019:2014.0,BE-LLO,2014,233770,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0047:2014.0,BE-LML,2014,111989,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0284:2014.0,BE-LNX,2014,20956,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0115:2018.0,BE-LNZ,2018,81168,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0085:2018.0,BE-LOH,2018,102223,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2014.0,BE-LRZ,2014,14942,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0147:2014.0,BE-LUM,2014,81995,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2017.0,BE-MAC,2017,103367,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0169:2014.0,BE-MBW,2014,58740,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2017.0,BE-MCN,2017,103367,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0133:2017.0,BE-MEC,2017,52332,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0161:2014.0,BE-MGU,2014,37056,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0193:2014.0,BE-MHA,2014,62295,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0110:2018.0,BE-MIS,2018,91718,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0038:2014.0,BE-MMN,2014,185546,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0073:2014.0,BE-MSK,2014,95070,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0282:2006.0,BE-MTA,2006,9453,GCoMEC:methodology,GCoMEC:v2
EUCoM:BE0282:2018.0,BE-MTA,2018,9453,EUCoM:methodology,EUCoM:2022
GCoMEC:BE0462:2014.0,BE-NIV,2014,212598,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0036:2018.0,BE-NNV,2018,174783,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0198:2012.0,BE-NPE,2012,93000,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2014.0,BE-NRP,2014,46996,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0254:2006.0,BE-NSO,2006,29079,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2017.0,BE-OBL,2017,70228,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0183:2018.0,BE-OHE,2018,42069,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0154:2018.0,BE-OIJ,2018,44871,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2014.0,BE-OJA,2014,38993,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0196:2014.0,BE-OPG,2014,42488,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0153:2014.0,BE-OVE,2014,35597,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0072:2015.0,BE-OVR,2015,94588,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2014.0,BE-PBI,2014,32361,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0315:2014.0,BE-PCL,2014,117201,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0130:2014.0,BE-PEE,2014,76990,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0204:2014.0,BE-PEP,2014,37644,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0265:2018.0,BE-PIN,2018,26664,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0107:2013.0,BE-QRO,2013,108554,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0243:2013.0,BE-QVA,2013,25226,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0129:2018.0,BE-RBA,2018,82246,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0028:2014.0,BE-RIN,2014,165006,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0131:2014.0,BE-RIS,2014,77549,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0062:2012.0,BE-SAV,2012,204187,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0250:2007.0,BE-SHU,2007,36719,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0237:2014.0,BE-SLT,2014,45217,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0143:2014.0,BE-SMO,2014,68558,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0022:2015.0,BE-SNK,2015,330782,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2013.0,BE-SNO,2013,113255,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0320:2014.0,BE-SOI,2014,145297,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0046:2018.0,BE-SPT,2018,142750,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0081:2017.0,BE-SPU,2017,83173,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0033:2014.0,BE-STR,2014,198069,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0263:2014.0,BE-SYR,2014,33815,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0091:2017.0,BE-TEN,2017,78248,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0136:2018.0,BE-TER,2018,62321,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0117:2014.0,BE-TES,2014,72149,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0144:2013.0,BE-THU,2013,68412,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0045:2018.0,BE-TIE,2018,174044,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0141:2018.0,BE-TMO,2018,49463,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0057:2014.0,BE-TON,2014,123654,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0278:2018.0,BE-TVL,2018,18309,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0188:2018.0,BE-TWI,2018,60324,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2014.0,BE-VER,2014,215401,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0030:2018.0,BE-VIL,2018,215972,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0157:2014.0,BE-WAN,2014,77755,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0235:2014.0,BE-WEL,2014,38648,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2014.0,BE-WIM,2014,31870,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0201:2014.0,BE-WKD,2014,48863,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0048:2018.0,BE-ZAV,2018,146459,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0099:2014.0,BE-ZHV,2014,146429,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0220:2018.0,BE-ZOU,2018,49378,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BE0239:2014.0,BE-ZTL,2014,35355,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BG0009:2016.0,BG-AND,2016,59043,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BG0005:2016.0,BG-DOD,2016,90645,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BG0007:2018.0,BG-GAV,2018,174995,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BG0015:2011.0,BG-KBR,2011,216508,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BG0010:2011.0,BG-PEG,2011,146948,GCoMEC:methodology,GCoMEC:v2
GCoMEC:BG0001:2015.0,BG-SOF,2015,5176641,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2016.0,BY-NHK,2016,129465,GCoMEC:methodology,GCoMEC:v2
GCoMEC:CH0004:2018.0,CH-LAU,2018,477363,GCoMEC:methodology,GCoMEC:v2
GCoMEC:CH0007:2015.0,CH-MNT,2015,145895,GCoMEC:methodology,GCoMEC:v2
GCoMEC:CH0009:2010.0,CH-ZKZ,2010,83579,GCoMEC:methodology,GCoMEC:v2
GCoMEC:CY0005:2014.0,CY-LCA,2014,278046,GCoMEC:methodology,GCoMEC:v2
GCoMEC:CZ0005:2015.0,CZ-CHR,2015,99261,GCoMEC:methodology,GCoMEC:v2
GCoMEC:CZ0003:2015.0,CZ-LBR,2015,387019,GCoMEC:methodology,GCoMEC:v2
GCoMEC:CZ0004:2015.0,CZ-LTC,2015,82318,GCoMEC:methodology,GCoMEC:v2
GCoMEC:CZ0002:2015.0,CZ-OSR,2015,1042812,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0063:2010.0,DE-6B5,2010,98042,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0023:2014.0,DE-76C,2014,1722849,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0021:2015.0,DE-AAH,2015,1518153,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0001:2012.0,DE-BER,2012,20805374,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0046:2015.0,DE-BOE,2015,413946,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0017:2012.0,DE-BON,2012,2350297,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0033:2012.0,DE-BOT,2012,884954,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0011:2012.0,DE-BRE,2012,9281313,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0046:2015.0,DE-BWU,2015,413946,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2014.0,DE-DRS,2014,3781878,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0008:2008.0,DE-DTM,2008,3826878,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0014:2010.0,DE-DUI,2010,3712373,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0006:2007.0,DE-DUS,2007,5668450,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0009:2011.0,DE-EEN,2011,4329421,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0035:2010.0,DE-ESL,2010,971862,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0009:2011.0,DE-ESS,2011,4329421,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0044:2010.0,DE-FDH,2010,624756,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0053:2015.0,DE-FEL,2015,196607,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0049:2011.0,DE-FTX,2011,74688,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0065:2010.0,DE-GLB,2010,32753,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0012:2017.0,DE-HAJ,2017,4239761,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0002:2015.0,DE-HAM,2015,12667190,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2014.0,DE-HAU,2014,825370,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0029:2010.0,DE-HEI,2010,1156836,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0042:2010.0,DE-HRT,2010,1064136,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0047:2013.0,DE-LOE,2013,418594,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0036:2016.0,DE-LUG,2016,495453,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0028:2008.0,DE-LUH,2008,1201245,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0036:2016.0,DE-LWG,2016,495453,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0020:2005.0,DE-MHG,2005,2600593,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0019:2010.0,DE-MSR,2010,1876,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0019:2017.0,DE-MSR,2017,1876,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0019:2010.0,DE-MUS,2010,1876,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0019:2017.0,DE-MUS,2017,1876,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0051:2011.0,DE-NET,2011,258022,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0013:2013.0,DE-NUE,2013,3691086,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2017.0,DE-OBE,2017,1225318,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2017.0,DE-OHS,2017,1225318,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0009:2011.0,DE-ONU,2011,4329421,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0032:2010.0,DE-PFO,2010,823774,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0011:2012.0,DE-RME,2012,9281313,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0035:2010.0,DE-SSK,2010,971862,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0007:2009.0,DE-STR,2009,4855803,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0031:2014.0,DE-WOB,2014,615838,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DE0037:2012.0,DE-WOR,2012,742418,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DK0004:2012.0,DK-AAL,2012,1200337,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DK0003:2017.0,DK-AAR,2017,1246923,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DK0019:2017.0,DK-HSB,2017,297705,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DK0039:2013.0,DK-RNG,2013,137235,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DK0011:2019.0,DK-SGD,2019,397101,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DK0010:2014.0,DK-SLG,2014,550598,GCoMEC:methodology,GCoMEC:v2
GCoMEC:DK0030:2017.0,DK-VOR,2017,259392,GCoMEC:methodology,GCoMEC:v2
GCoMEC:EE0003:2011.0,EE-RAK,2011,23713,GCoMEC:methodology,GCoMEC:v2
GCoMEC:EE0001:2015.0,EE-TLL,2015,3491624,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES0690:2013.0,ES-2GL,2013,20936,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES0291:2012.0,ES-9BJ,2012,60275,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2017.0,ES-A8D,2017,63025,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES0559:2012.0,ES-AAH,2012,47464,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES0881:2014.0,ES-AAR,2014,8640,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES1321:2012.0,ES-AB2,2012,1111,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES0365:2017.0,ES-ABE,2017,82994,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES1248:2012.0,ES-AC2,2012,2944,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES0255:2012.0,ES-ACB,2012,62637,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES0484:2013.0,ES-ACN,2013,22633,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2015.0,ES-ADC,2015,9371,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES1632:2015.0,ES-ADP,2015,589,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES0200:2012.0,ES-ADR,2012,81183,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES0212:2013.0,ES-AEO,2013,61152,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES1407:2015.0,ES-AES,2015,1300,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES0606:2012.0,ES-AFF,2012,19747,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES0154:2013.0,ES-AFR,2013,187208,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES0006:2017.0,ES-AGP,2017,1682732,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES0750:2012.0,ES-AHA,2012,10555,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES0120:2013.0,ES-AHI,2013,83067,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES0449:2013.0,ES-AHZ,2013,37500,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES0731:2012.0,ES-AIA,2012,7270,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES0213:2013.0,ES-AJG,2013,51100,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES0208:2012.0,ES-AKA,2012,70787,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES0374:2012.0,ES-AKC,2012,28802,GCoMEC:methodology,GCoMEC:v2
GCoMH:ES1880:2010.0,ES-AKJ,2010,122912,GCoMH:methodology,GCoMH:2021
GCoMEC:ES1880:2017.0,ES-AKJ,2017,122912,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES1008:2013.0,ES-AKM,2013,3882,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES1248:2012.0,ES-AKQ,2012,2944,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2017.0,ES-ALD,2017,101835,GCoMEC:methodology,GCoMEC:v2
GCoMEC:ES0045:2013.0,ES-ALG,2013,468479,GCoMEC:methodology,GCoMEC:v2
GCoMEC:nan:2017.0,ES-ALK,2017,101835,GCoMEC:methodology,GCoMEC:v2
