"actor_id","target_year","sector_list","target_boundary","percent_achieved","last_updated","target_type","baseline_year","target_id","target_value","target_unit","data_source"
"IT PSR",NA,"All emissions sources included in city inventory",NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:IT PSR",NA,"percent","CDPCitiesTargets:2021"
"NO TRD",2030,"Other, please specify: All direct emissions within the city boundary's are  included in the targets","Same (city-wide) – covers entire city and nothing else",25,"2021-10-04T09:30:14.243","Absolute emission reduction",2009,"CDPCitiesTargets:2021:NO TRD",80,"percent","CDPCitiesTargets:2021"
"SE LUD",2045,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",39,"2021-10-04T09:30:14.243","Absolute emission reduction",2010,"CDPCitiesTargets:2021:SE LUD",100,"percent","CDPCitiesTargets:2021"
"SE HEL",2035,"Other, please specify: food","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:SE HEL",50,"percent","CDPCitiesTargets:2021"
"IT NAP",2020,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",20,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:IT NAP",25,"percent","CDPCitiesTargets:2021"
"IT NAP",2020,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",20,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:IT NAP",25,"percent","CDPCitiesTargets:2021"
"GB BOH",2030,"All emissions sources included in city inventory","Local Government Operations – covers only emission sources owned and operated by local government",0,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:GB BOH",0,"tCO2e","CDPCitiesTargets:2021"
"TR JKS",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:TR JKS",NA,"percent","CDPCitiesTargets:2021"
"AU WOL",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",26,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:AU WOL",0,"tCO2e","CDPCitiesTargets:2021"
"SE FKG",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",1990,"CDPCitiesTargets:2021:SE FKG",100,"percent","CDPCitiesTargets:2021"
"JP KNZ",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",29,"2021-10-04T09:30:14.243","Absolute emission reduction",2013,"CDPCitiesTargets:2021:JP KNZ",30,"percent","CDPCitiesTargets:2021"
"BR QIA",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Carbon intensity reduction",NA,"CDPCitiesTargets:2021:BR QIA",NA,"percent","CDPCitiesTargets:2021"
"KR SEL",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",4.8,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:KR SEL",100,"percent","CDPCitiesTargets:2021"
"AU ADL",2025,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",32.75,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:AU ADL",438520,"tCO2e","CDPCitiesTargets:2021"
"JP SHO",2022,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",99.91,"2021-10-04T09:30:14.243","Absolute emission reduction",2013,"CDPCitiesTargets:2021:JP SHO",90.97,"percent","CDPCitiesTargets:2021"
"TR SFH",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Carbon intensity reduction",NA,"CDPCitiesTargets:2021:TR SFH",NA,"percent","CDPCitiesTargets:2021"
"SE VXO",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",42.5,"2021-10-04T09:30:14.243","Absolute emission reduction",1993,"CDPCitiesTargets:2021:SE VXO",100,"percent","CDPCitiesTargets:2021"
"ME TGD",2020,"Transport","Same (city-wide) – covers entire city and nothing else",28.43,"2021-10-04T09:30:14.243","Absolute emission reduction",2008,"CDPCitiesTargets:2021:ME TGD",20,"percent","CDPCitiesTargets:2021"
"CR SJO",2025,"Energy","Local Government Operations - covers only emission sources owned and operated by local government",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2019,"CDPCitiesTargets:2021:CR SJO",1,"percent","CDPCitiesTargets:2021"
"DK FRE",2035,"Energy","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",2010,"CDPCitiesTargets:2021:DK FRE",100,"percent","CDPCitiesTargets:2021"
"JP HMM",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",28.88,"2021-10-04T09:30:14.243","Absolute emission reduction",2013,"CDPCitiesTargets:2021:JP HMM",30,"percent","CDPCitiesTargets:2021"
"IT BZO",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",6.8,"2021-10-04T09:30:14.243","Absolute emission reduction",2010,"CDPCitiesTargets:2021:IT BZO",40.65,"percent","CDPCitiesTargets:2021"
"MX ZAP",2030,"Energy","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Relative emission reduction",2030,"CDPCitiesTargets:2021:MX ZAP",9.4315,"percent","CDPCitiesTargets:2021"
"JP NQU",2024,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2013,"CDPCitiesTargets:2021:JP NQU",15.04,"percent","CDPCitiesTargets:2021"
"SE KID",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",60,"2021-10-04T09:30:14.243","Absolute emission reduction",1990,"CDPCitiesTargets:2021:SE KID",60,"percent","CDPCitiesTargets:2021"
"GB NTG",2020,"Other, please specify: Scope 1 and 2 CO2 emissions from BEIS local authority inventory","Same (city-wide) – covers entire city and nothing else",100,"2021-10-04T09:30:14.243","Carbon intensity reduction",2005,"CDPCitiesTargets:2021:GB NTG",26,"percent","CDPCitiesTargets:2021"
"FR NCE",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",8.7,"2021-10-04T09:30:14.243","Absolute emission reduction",2012,"CDPCitiesTargets:2021:FR NCE",75,"percent","CDPCitiesTargets:2021"
"BR DIS",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:BR DIS",NA,"tCO2e","CDPCitiesTargets:2021"
"CR CAS",2023,"Energy","Local Government Operations - covers only emission sources owned and operated by local government",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2019,"CDPCitiesTargets:2021:CR CAS",1,"percent","CDPCitiesTargets:2021"
"IN HYD",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:IN HYD",NA,"tCO2e","CDPCitiesTargets:2021"
"KR TAE",2030,"Transport","Smaller – covers only part of the city",62.6,"2021-10-04T09:30:14.243","Relative emission reduction",2030,"CDPCitiesTargets:2021:KR TAE",24.6,"percent","CDPCitiesTargets:2021"
"HN TGU",2040,"Waste","Same (city-wide) – covers entire city and nothing else",20,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:HN TGU",557322,"tCO2e","CDPCitiesTargets:2021"
"DK HVV",2050,"Transport","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:DK HVV",0,"tCO2e","CDPCitiesTargets:2021"
"SE HEL",2050,"Transport","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:SE HEL",NA,"percent","CDPCitiesTargets:2021"
"TW KHH",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",12.09,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:TW KHH",20,"percent","CDPCitiesTargets:2021"
"RO ALI",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",19,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:RO ALI",130000,"tCO2e","CDPCitiesTargets:2021"
"MZ MNC",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Relative emission reduction",2030,"CDPCitiesTargets:2021:MZ MNC",50,"percent","CDPCitiesTargets:2021"
"ES VIT",2020,"Other, please specify: Servicios municipales (edificios municipales, alumbrado público, transporte público, gestión del agua, de los residuos","Larger – covers the whole city and adjoining areas",100,"2021-10-04T09:30:14.243","Absolute emission reduction",2006,"CDPCitiesTargets:2021:ES VIT",56,"percent","CDPCitiesTargets:2021"
"ID MLG",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",40,"2021-10-04T09:30:14.243","Relative emission reduction",2030,"CDPCitiesTargets:2021:ID MLG",20,"percent","CDPCitiesTargets:2021"
"BR CWB",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Relative emission reduction",2050,"CDPCitiesTargets:2021:BR CWB",100,"percent","CDPCitiesTargets:2021"
"DE HEI",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",2010,"CDPCitiesTargets:2021:DE HEI",95,"percent","CDPCitiesTargets:2021"
"JP KIY",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",4,"2021-10-04T09:30:14.243","Absolute emission reduction",2013,"CDPCitiesTargets:2021:JP KIY",30,"percent","CDPCitiesTargets:2021"
"BR CPS",2025,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2016,"CDPCitiesTargets:2021:BR CPS",5,"percent","CDPCitiesTargets:2021"
"TW TPE",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",11.31,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:TW TPE",100,"percent","CDPCitiesTargets:2021"
"JP OQM",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",2006,"CDPCitiesTargets:2021:JP OQM",70,"percent","CDPCitiesTargets:2021"
"AU MBA",2022,"All emissions sources included in city inventory","Local Government Operations – covers only emission sources owned and operated by local government",0,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:AU MBA",261000,"tCO2e","CDPCitiesTargets:2021"
"IN STV",2030,"Transport","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2019,"CDPCitiesTargets:2021:IN STV",40,"percent","CDPCitiesTargets:2021"
"IT FLR",2020,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",100,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:IT FLR",21,"percent","CDPCitiesTargets:2021"
"IT FLR",2020,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",100,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:IT FLR",21,"percent","CDPCitiesTargets:2021"
"HK HKG",2020,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",72,"2021-10-04T09:30:14.243","Carbon intensity reduction",2005,"CDPCitiesTargets:2021:HK HKG",50,"percent","CDPCitiesTargets:2021"
"TW TXG",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:TW TXG",50,"percent","CDPCitiesTargets:2021"
"TZ DAR",2015,"Energy","Larger – covers the whole city and adjoining areas",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2000,"CDPCitiesTargets:2021:TZ DAR",10,"percent","CDPCitiesTargets:2021"
"JP TYO",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:JP TYO",0,"tCO2e","CDPCitiesTargets:2021"
"SE VTA",2030,"Energy","Same (city-wide) – covers entire city and nothing else",99,"2021-10-04T09:30:14.243","Carbon intensity reduction",2005,"CDPCitiesTargets:2021:SE VTA",40,"percent","CDPCitiesTargets:2021"
"GB SUN",NA,"All emissions sources included in city inventory",NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:GB SUN",NA,"tCO2e","CDPCitiesTargets:2021"
"DK GLX",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",40,"2021-10-04T09:30:14.243","Absolute emission reduction",2007,"CDPCitiesTargets:2021:DK GLX",70,"percent","CDPCitiesTargets:2021"
"PT AGU",2020,"All emissions sources included in city inventory","Larger – covers the whole city and adjoining areas",100,"2021-10-04T09:30:14.243","Absolute emission reduction",2002,"CDPCitiesTargets:2021:PT AGU",33,"percent","CDPCitiesTargets:2021"
"CR CAS",2023,"Waste","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2018,"CDPCitiesTargets:2021:CR CAS",8.7,"percent","CDPCitiesTargets:2021"
"BR REC",2050,"Waste","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:BR REC",0,"tCO2e","CDPCitiesTargets:2021"
"PH MTI",2028,"Energy","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",2018,"CDPCitiesTargets:2021:PH MTI",7,"percent","CDPCitiesTargets:2021"
"SE UME",2050,"Other, please specify: Consumption based emissions","Larger – covers the whole city and adjoining areas",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",2018,"CDPCitiesTargets:2021:SE UME",91,"percent","CDPCitiesTargets:2021"
"SE HEL",2024,"Transport","Smaller – covers only part of the city",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:SE HEL",NA,"percent","CDPCitiesTargets:2021"
"PT EVR",2022,"Energy","Smaller – covers only part of the city",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",2020,"CDPCitiesTargets:2021:PT EVR",26.4,"percent","CDPCitiesTargets:2021"
"SE KID",2040,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",48,"2021-10-04T09:30:14.243","Absolute emission reduction",1990,"CDPCitiesTargets:2021:SE KID",75,"percent","CDPCitiesTargets:2021"
"PT TVE",2020,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",29,"2021-10-04T09:30:14.243","Absolute emission reduction",2009,"CDPCitiesTargets:2021:PT TVE",29,"percent","CDPCitiesTargets:2021"
"JP KUA",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",7.45,"2021-10-04T09:30:14.243","Absolute emission reduction",2013,"CDPCitiesTargets:2021:JP KUA",80,"percent","CDPCitiesTargets:2021"
"AR CEO",2030,"Other, please specify: Energía, Transporte y Residuos","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Relative emission reduction",2030,"CDPCitiesTargets:2021:AR CEO",18,"percent","CDPCitiesTargets:2021"
"BR SME",2030,"Energy","Larger – covers the whole city and adjoining areas",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2016,"CDPCitiesTargets:2021:BR SME",6.8,"percent","CDPCitiesTargets:2021"
"CR BLN",2021,"Other, please specify: AFOLU","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2017,"CDPCitiesTargets:2021:CR BLN",1,"percent","CDPCitiesTargets:2021"
"ES VIT",2020,"Transport","Larger – covers the whole city and adjoining areas",83,"2021-10-04T09:30:14.243","Absolute emission reduction",2006,"CDPCitiesTargets:2021:ES VIT",34,"percent","CDPCitiesTargets:2021"
"BR CRS",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:BR CRS",NA,"tCO2e","CDPCitiesTargets:2021"
"SE VTA",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",47,"2021-10-04T09:30:14.243","Absolute emission reduction",1990,"CDPCitiesTargets:2021:SE VTA",100,"percent","CDPCitiesTargets:2021"
"JP KWE",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",15.1,"2021-10-04T09:30:14.243","Absolute emission reduction",2013,"CDPCitiesTargets:2021:JP KWE",26,"percent","CDPCitiesTargets:2021"
"KR CHW",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:KR CHW",NA,"percent","CDPCitiesTargets:2021"
"SE VTA",2020,"Energy","Same (city-wide) – covers entire city and nothing else",99,"2021-10-04T09:30:14.243","Carbon intensity reduction",2005,"CDPCitiesTargets:2021:SE VTA",20,"percent","CDPCitiesTargets:2021"
"JP KIY",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",4,"2021-10-04T09:30:14.243","Absolute emission reduction",2013,"CDPCitiesTargets:2021:JP KIY",100,"percent","CDPCitiesTargets:2021"
"PE SDR",2050,"Energy","Same (city-wide) – covers entire city and nothing else",1,"2021-10-04T09:30:14.243","Absolute emission reduction",2017,"CDPCitiesTargets:2021:PE SDR",99,"percent","CDPCitiesTargets:2021"
"CO ENV",2050,"Other, please specify: Procesos Industriales y uso de productos","Same (city-wide) – covers entire city and nothing else",2,"2021-10-04T09:30:14.243","Relative emission reduction",2050,"CDPCitiesTargets:2021:CO ENV",20,"percent","CDPCitiesTargets:2021"
"CO ENV",2050,"Transport","Same (city-wide) – covers entire city and nothing else",12,"2021-10-04T09:30:14.243","Relative emission reduction",2050,"CDPCitiesTargets:2021:CO ENV",20,"percent","CDPCitiesTargets:2021"
"BR REC",2050,"Waste","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:BR REC",0,"tCO2e","CDPCitiesTargets:2021"
"PT BGZ",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",24,"2021-10-04T09:30:14.243","Absolute emission reduction",2014,"CDPCitiesTargets:2021:PT BGZ",100,"percent","CDPCitiesTargets:2021"
"ZA JNB",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Relative emission reduction",2050,"CDPCitiesTargets:2021:ZA JNB",100,"percent","CDPCitiesTargets:2021"
"SI LJU",2030,"Transport","Larger – covers the whole city and adjoining areas",24,"2021-10-04T09:30:14.243","Absolute emission reduction",2008,"CDPCitiesTargets:2021:SI LJU",30,"percent","CDPCitiesTargets:2021"
"MX GDL",2050,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",67,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:MX GDL",15300000,"tCO2e","CDPCitiesTargets:2021"
"CO PEI",2023,"Transport","Larger – covers the whole city and adjoining areas",30,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:CO PEI",372511,"tCO2e","CDPCitiesTargets:2021"
"SE KID",2045,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",42,"2021-10-04T09:30:14.243","Absolute emission reduction",1990,"CDPCitiesTargets:2021:SE KID",85,"percent","CDPCitiesTargets:2021"
"SE HEL",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:SE HEL",NA,"tCO2e","CDPCitiesTargets:2021"
"PT EVR",2020,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",2009,"CDPCitiesTargets:2021:PT EVR",20,"percent","CDPCitiesTargets:2021"
"DE MHG",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",50,"2021-10-04T09:30:14.243","Absolute emission reduction",1990,"CDPCitiesTargets:2021:DE MHG",55,"percent","CDPCitiesTargets:2021"
"JP KNZ",NA,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:JP KNZ",NA,"percent","CDPCitiesTargets:2021"
"SE LUD",2025,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",60,"2021-10-04T09:30:14.243","Absolute emission reduction",2010,"CDPCitiesTargets:2021:SE LUD",65,"percent","CDPCitiesTargets:2021"
"BR FLN",2020,NA,NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",2013,"CDPCitiesTargets:2021:BR FLN",42,"percent","CDPCitiesTargets:2021"
"NL AMS",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",1990,"CDPCitiesTargets:2021:NL AMS",55,"percent","CDPCitiesTargets:2021"
"CR BLN",2021,"Energy","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2017,"CDPCitiesTargets:2021:CR BLN",5,"percent","CDPCitiesTargets:2021"
"TW PIF",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2013,"CDPCitiesTargets:2021:TW PIF",20,"percent","CDPCitiesTargets:2021"
"JP KIJ",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",48.7,"2021-10-04T09:30:14.243","Absolute emission reduction",2013,"CDPCitiesTargets:2021:JP KIJ",40,"percent","CDPCitiesTargets:2021"
"IS REY",2030,"Energy","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2019,"CDPCitiesTargets:2021:IS REY",100,"percent","CDPCitiesTargets:2021"
"UG KLA",2030,"Waste","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Relative emission reduction",2030,"CDPCitiesTargets:2021:UG KLA",22,"percent","CDPCitiesTargets:2021"
"NL AMS",2050,"All emissions sources included in city inventory",NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",1990,"CDPCitiesTargets:2021:NL AMS",95,"percent","CDPCitiesTargets:2021"
"ME TGD",2020,"Other, please specify: Public lighting","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",2008,"CDPCitiesTargets:2021:ME TGD",20,"percent","CDPCitiesTargets:2021"
"CO ENV",2023,"Energy","Same (city-wide) – covers entire city and nothing else",20,"2021-10-04T09:30:14.243","Relative emission reduction",2023,"CDPCitiesTargets:2021:CO ENV",20,"percent","CDPCitiesTargets:2021"
"PT LIS",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",44,"2021-10-04T09:30:14.243","Absolute emission reduction",2002,"CDPCitiesTargets:2021:PT LIS",70,"percent","CDPCitiesTargets:2021"
"PT LIS",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",44,"2021-10-04T09:30:14.243","Absolute emission reduction",2002,"CDPCitiesTargets:2021:PT LIS",70,"percent","CDPCitiesTargets:2021"
"PE SDR",2050,"Waste","Same (city-wide) – covers entire city and nothing else",2,"2021-10-04T09:30:14.243","Absolute emission reduction",2017,"CDPCitiesTargets:2021:PE SDR",98,"percent","CDPCitiesTargets:2021"
"CH LAU",2050,"Waste","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:CH LAU",0,"tCO2e","CDPCitiesTargets:2021"
"TR URL",NA,"Other, please specify: GHG decreasing projects","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:TR URL",0,"tCO2e","CDPCitiesTargets:2021"
"PL GDY",2020,"All emissions sources included in city inventory",NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",1999,"CDPCitiesTargets:2021:PL GDY",20,"percent","CDPCitiesTargets:2021"
"CR BLN",2021,"Transport","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2017,"CDPCitiesTargets:2021:CR BLN",10,"percent","CDPCitiesTargets:2021"
"BR CPS",2040,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",0,"2021-10-04T09:30:14.243","Absolute emission reduction",2016,"CDPCitiesTargets:2021:BR CPS",16,"percent","CDPCitiesTargets:2021"
"TR AYT",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Relative emission reduction",2030,"CDPCitiesTargets:2021:TR AYT",40,"percent","CDPCitiesTargets:2021"
"GB BRS",2020,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",56.64,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:GB BRS",40,"percent","CDPCitiesTargets:2021"
"DE BER",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Absolute emission reduction",NA,"CDPCitiesTargets:2021:DE BER",NA,"percent","CDPCitiesTargets:2021"
